block_size,mode,write_iops,write_bw_kbps,write_lat_us,write_lat_95_us,write_lat_99_us
8,raw,1870736.375454,14615,.13,.01,.09
16,raw,2104284.600000,32879,.14,.01,.02
32,raw,2135886.700000,66746,.13,.01,.04
64,raw,1530954.161090,95684,.12,.01,.94
128,raw,0.018039,0,270.29,268.28,268.28
256,raw,1392808.693631,348202,.19,.80,1.02
512,raw,638798.306723,319399,.51,1.24,19.84
1024,raw,0.016470,0,468.51,468.99,468.99
2048,raw,123204.193194,246408,2.59,18.30,21.63
4096,raw,130247.134813,520988,2.58,19.07,26.24
