block_size,write_iops,write_bw_kbps,write_lat_us,write_lat_95_us,write_lat_99_us
8,25651.505808,240.0,1.9522817460000002,9.92,10.688
16,18980.017,355.2,2.979222527,10.304,11.2
32,17946.284229,672.0,3.202572817,10.688,11.712
64,17518.224696,1312.8,3.180343234,10.56,13.504
128,13299.02835,1994.3999999999999,4.347178267,11.072,16.768
256,13343.494275,4002.0,4.13027671,11.584,17.024
512,10393.326778,6235.2,5.219772053,14.784,18.816
1k,7049.432509,8458.8,8.086979809999999,16.768,21.888
2k,4825.869569,11581.199999999999,10.679455109000001,20.352,26.752
4k,2250.245829,10800.0,27.447013154,35.584,43.264
