block_size,write_bw_kbps,write_iops,write_lat_avg_us,sync_lat_avg_us,total_lat_avg_us,write_lat_99_us,sync_lat_99_us,total_lat_99_us
8,240.0,25651.505808,1.9522817460000002,36.05324541,31.67127263,10.688,168.96,179.648
16,355.2,18980.017,2.979222527,48.224295921999996,42.66959870749999,11.2,181.248,192.44799999999998
32,672.0,17946.284229,3.202572817,50.931268777,45.111534661666674,11.712,189.44,201.152
64,1312.8,17518.224696,3.180343234,52.359829798,46.283477526666665,13.504,288.768,302.272
128,1994.3999999999999,13299.02835,4.347178267,68.803288619,60.958722405,16.768,411.648,428.41600000000005
256,4002.0,13343.494275,4.13027671,68.959540967,60.9081813975,17.024,423.936,440.96
512,6235.2,10393.326778,5.219772053,88.79106387300001,78.34236327166668,18.816,489.472,508.28799999999995
1k,8458.8,7049.432509,8.086979809999999,130.728251747,115.67935963083335,21.888,518.144,540.032
2k,11581.199999999999,4825.869569,10.679455109000001,193.506878898,170.15527833916667,26.752,577.536,604.2879999999999
4k,10800.0,2250.245829,27.447013154,408.63172613800003,363.39894941000006,43.264,593.92,637.184
