block_size,write_iops,write_bw_kbps,write_lat_us,write_lat_95_us,write_lat_99_us
8,1071.533333,8,12.12136069800000000000,13.50400000000000000000,17.02400000000000000000
16,913.736209,14,13.01104826200000000000,14.14400000000000000000,19.32800000000000000000
32,909.703010,28,12.91150637500000000000,14.01600000000000000000,19.32800000000000000000
64,1049.198360,65,15.80165810000000000000,18.04800000000000000000,24.44800000000000000000
128,1008.133062,126,13.34604771000000000000,15.93600000000000000000,19.58400000000000000000
256,961.734609,240,16.62052358500000000000,23.93600000000000000000,25.72800000000000000000
512,918.036065,459,13.24490647000000000000,17.53600000000000000000,20.09600000000000000000
1k,706.876437,706,19.88157320700000000000,26.75200000000000000000,35.58400000000000000000
2k,626.545782,1253,16.90873160600000000000,19.84000000000000000000,25.72800000000000000000
4k,477.134858,1908,22.45091379700000000000,33.02400000000000000000,43.26400000000000000000
