block_size,write_iops,write_bw_kbps,write_lat_us,write_lat_95_us,write_lat_99_us
8,25651.505808,200,1.9522817460000002,9.92,10.688
16,18980.017,296,2.979222527,10.304,11.2
32,17946.284229,560,3.202572817,10.688,11.712
64,17518.224696,1094,3.180343234,10.56,13.504
128,13299.02835,1662,4.347178267,11.072,16.768
256,13343.494275,3335,4.13027671,11.584,17.024
512,10393.326778,5196,5.219772053,14.784,18.816
1k,7049.432509,7049,8.086979809999999,16.768,21.888
2k,4825.869569,9651,10.679455109000001,20.352,26.752
4k,2250.245829,9000,27.447013154,35.584,43.264
