block_size,write_bw_kbps,write_iops,write_lat_avg_us,sync_lat_avg_us,total_lat_avg_us,write_lat_99_us,sync_lat_99_us,total_lat_99_us
8,200,25651.505808,1.9522817460000002,36.05324541,38.005527156,10.688,168.96,179.648
16,296,18980.017,2.979222527,48.224295921999996,51.20351844899999,11.2,181.248,192.44799999999998
32,560,17946.284229,3.202572817,50.931268777,54.133841594,11.712,189.44,201.152
64,1094,17518.224696,3.180343234,52.359829798,55.540173032,13.504,288.768,302.272
128,1662,13299.02835,4.347178267,68.803288619,73.150466886,16.768,411.648,428.41600000000005
256,3335,13343.494275,4.13027671,68.959540967,73.089817677,17.024,423.936,440.96
512,5196,10393.326778,5.219772053,88.79106387300001,94.01083592600001,18.816,489.472,508.28799999999995
1k,7049,7049.432509,8.086979809999999,130.728251747,138.815231557,21.888,518.144,540.032
2k,9651,4825.869569,10.679455109000001,193.506878898,204.186334007,26.752,577.536,604.2879999999999
4k,9000,2250.245829,27.447013154,408.63172613800003,436.078739292,43.264,593.92,637.184
