block_size,write_bw_kbps,write_iops,write_lat_avg_us,sync_lat_avg_us,total_lat_avg_us,write_lat_99_us,sync_lat_99_us,total_lat_99_us
8,94,12135.214413,4.38209069,76.215540992,80.597631682,19.072,272.384,291.456
16,183,11763.803937,4.5773617,78.369300096,82.946661796,19.84,272.384,292.224
32,360,11550.174164,4.548555238,80.105639814,84.654195052,20.096,284.672,304.76800000000003
64,682,10916.718055,4.627398784,85.211877203,89.83927598700001,19.84,536.576,556.416
128,1191,9529.274512,4.538603899,98.938672618,103.47727651699999,19.84,675.84,695.6800000000001
256,1959,7839.169347,5.676152639,119.526667879,125.202820518,24.448,929.792,954.24
512,2394,4788.086865,9.132463312,195.994392269,205.126855581,27.52,1003.52,1031.04
1k,3004,3004.166597,14.035530355,313.881435995,327.91696635,32.128,1003.52,1035.648
2k,3992,1996.166731,21.738074283000003,471.859734721,493.597809004,36.608,1019.904,1056.512
4k,6001,1500.458326,27.372099901000002,631.4110337000001,658.783133601,47.872,1019.904,1067.776
